XrayTh,spiralTh,sliceTh,p_valIni,nHQ,nLQ,FalloHQ,FalloLQ,Fallopval,Freq,Proportion HQ/LQ,p_val
350,1.5,1,0,616,2352,0.036914487,0.14622014,0,0,0.261904762,0
500,1.2,1,0.000638927,224,2744,0.002981579,0.142985552,3.17824E-05,28,0.081632653,3.17824E-05
500,1.3,1,0.000363231,280,2688,0.004482099,0.148576859,3.49041E-05,28,0.104166667,3.49041E-05
500,1.3,1.25,0.000100275,308,2660,0.003848667,0.153773646,2.49067E-05,0,0.115789474,2.49067E-05
500,1,1,0.028575077,140,2828,0.006882888,0.129178158,0.000157838,28,0.04950495,0.000157838
500,1.4,1.25,0.000100275,308,2660,0.003848667,0.153773646,2.49067E-05,0,0.115789474,2.49067E-05
400,1.2,1,0.011308666,308,2660,0.01377837,0.139284296,0.000427169,28,0.115789474,0.000427169
200,1.2,1,0.000346953,812,2156,0.027204109,0.185072313,0.000569677,28,0.376623377,0.000346953
700,1.5,1,0.044735573,168,2800,0.012430537,0.129642366,0.000643466,112,0.06,0.000643466
500,1.2,1.25,0.000185953,252,2716,0.002518441,0.147947895,2.35423E-05,0,0.092783505,2.35423E-05
450,1.2,1.25,0.000247922,308,2660,0.004683705,0.151025689,3.61621E-05,0,0.115789474,3.61621E-05
200,1.2,1.25,0.00026718,938,2030,0.031356492,0.196193899,0.000782463,0,0.462068966,0.00026718
200,1.3,1.25,0.000340493,1050,1918,0.036205499,0.202915664,0.001272622,0,0.547445255,0.000340493
200,1.4,1.25,0.000340493,1050,1918,0.036205499,0.202915664,0.001272622,0,0.547445255,0.000340493
200,1.5,1,0.000112681,1092,1876,0.034594415,0.213220366,0.000747366,112,0.582089552,0.000112681
600,1.2,1,0.094472774,112,2856,0.011222681,0.124922901,0.000917011,84,0.039215686,0.000917011
500,1.4,1,0.000363231,280,2688,0.004482099,0.148576859,3.49041E-05,0,0.104166667,3.49041E-05
100,1.2,1.25,0.000411511,1414,1554,0.051272381,0.228883245,0.003310075,0,0.90990991,0.000411511
600,1,1,0.094472774,112,2856,0.011222681,0.124922901,0.000917011,28,0.039215686,0.000917011
500,1.5,1.25,0.000434771,448,2520,0.011951079,0.159916477,0.000104522,0,0.177777778,0.000104522
100,1.3,1.25,0.000458962,1526,1442,0.052876892,0.240551391,0.004209028,0,1.058252427,0.000458962
100,1.4,1.25,0.000458962,1526,1442,0.052876892,0.240551391,0.004209028,0,1.058252427,0.000458962
100,1.5,1,3.60515E-05,1624,1344,0.04876185,0.277731653,0.001320353,28,1.208333333,3.60515E-05
200,1.3,1,0.00051142,924,2044,0.03273992,0.190391048,0.001082791,0,0.452054795,0.00051142
200,1.4,1,0.00051142,924,2044,0.03273992,0.190391048,0.001082791,0,0.452054795,0.00051142
400,1.5,1.25,0.006830956,560,2408,0.026252437,0.153812415,0.001684179,84,0.23255814,0.001684179
100,1.3,1,0.000689134,1344,1624,0.047972689,0.21832592,0.003657562,0,0.827586207,0.000689134
100,1.4,1,0.000689134,1344,1624,0.047972689,0.21832592,0.003657562,0,0.827586207,0.000689134
100,1.2,1,0.000703376,1232,1736,0.044267905,0.209045239,0.002907026,0,0.709677419,0.000703376
450,1.3,1.25,0.000715805,392,2576,0.009849637,0.153884177,9.71733E-05,0,0.152173913,9.71733E-05
